x,y,z1,z2
0.21088,0.104875,0.361038,0.220131
0.664927,0.13344,-0.277041,-0.291778
0.588083,0.248341,0.017841,-0.780747
0.994675,0.222324,-0.277731,-0.992105
0.190692,0.068894,-0.806839,-0.894151
0.874647,0.355871,1.969962,1.074138
0.887724,0.348043,-0.298974,0.215667
0.60708,0.336599,-0.978868,-1.232957
0.266178,0.163378,-0.453913,-0.947426
0.738735,0.219699,1.888839,1.91884
0.140047,0.273289,0.601212,0.338336
0.147738,0.361501,-1.533852,-0.831311
0.718288,0.016541,0.394697,-0.009389
0.464652,0.411597,-0.188179,-0.667318
0.451865,0.088869,1.580611,1.930271
0.738903,0.165911,1.171016,0.574001
0.600702,0.174472,-0.510754,-0.342664
0.427451,0.011368,0.960082,1.261339
0.007538,0.350927,0.546658,-0.507663
0.878599,0.454826,-0.460405,-0.543788
0.379858,0.477287,0.359664,-0.889436
0.241596,0.227939,0.302836,-0.404718
0.244404,0.410529,-0.914151,-1.434607
0.546883,0.234684,-0.573891,-0.821023
0.616312,0.152682,-0.576899,-0.174112
0.598062,0.379706,0.11441,-0.735189
0.02153,0.010163,-2.16293,-2.731777
0.168688,0.281621,0.016492,-0.663803
0.635248,0.350713,0.147102,-0.222693
0.266041,0.095354,1.566909,1.521236
0.714275,0.499825,0.360143,-0.167651
0.500465,0.183337,-1.371413,-0.892495
0.459983,0.151766,-0.014028,-0.232496
0.722744,0.3776,0.708212,0.963251
0.742458,0.417288,-1.585571,-0.325008
0.488579,0.20145,-1.306715,-1.146911
0.196353,0.237415,0.029457,-0.293969
0.990036,0.016861,-0.428052,0.570679
0.448447,0.357626,0.181959,0.15493
0.743267,0.28957,1.637235,1.410575
0.26598,0.159823,-0.31052,-0.74073
0.30251,0.312627,-0.575591,-1.231307
0.470848,0.099825,1.236865,1.300926
0.56582,0.105241,-0.225155,0.84849
0.477348,0.266194,-0.69896,-1.416531
0.153689,0.302129,-0.153037,-0.498447
0.216938,0.210346,0.590237,0.166552
0.856886,0.335622,1.421784,1.102239
0.862684,0.447227,-0.256114,-0.649997
0.661143,0.45507,-0.150141,-0.499162
0.599863,0.155688,0.409314,0.557348
0.687114,0.014817,-1.314931,-0.841238
0.392813,0.243427,-1.163252,-1.166221
0.149203,0.354818,-1.837771,-0.900872
0.187137,0.162783,-0.722558,-0.741882
0.764416,0.47042,0.483729,-0.446825
0.830594,0.076326,1.524568,0.942366
0.076585,0.398276,-1.337166,-1.073232
0.563882,0.018296,0.228029,0.469746
0.155581,0.273732,-0.335402,-0.357921
0.161212,0.279911,0.015629,-0.520271
0.343404,0.442695,0.526269,0.09494
0.399069,0.471015,-0.10962,-0.462371
0.832334,0.152667,1.675373,1.064732
0.17232,0.300374,-0.468571,-1.179315
0.168917,0.394873,0.831804,0.510158
0.405753,0.241688,-1.564545,-1.372977
0.925933,0.426673,1.324675,1.157347
0.724559,0.334829,-0.732467,-0.406872
0.774746,0.161395,0.524557,-0.449722
0.620951,0.262425,-1.201453,-1.285272
0.376013,0.274083,-0.602968,-1.738706
0.161639,0.38584,0.306553,0.209204
0.781903,0.022446,0.287452,0.374187
0.929778,0.2056,-0.538346,-0.733252
0.442588,0.306996,-2.239885,-1.375283
0.715541,0.364401,-0.213313,0.287143
0.740047,0.174304,2.48428,1.01274
0.670573,0.443183,-0.238522,-0.60063
0.976394,0.234592,0.216183,-0.047202
0.894743,0.064378,0.344822,0.091834
0.25594,0.276799,-0.2628,-1.357214
0.402243,0.187457,-1.576939,-1.483063
0.026871,0.468132,1.082236,0.966488
0.786084,0.295308,3.022202,1.547382
0.963363,0.268818,1.327223,0.675576
0.661204,0.011032,0.229746,0.55395
0.787839,0.35613,1.619064,1.807995
0.62298,0.057252,0.698839,0.797676
0.959548,0.179232,0.41284,0.01927
0.688777,0.108782,-0.834877,-0.812053
0.098604,0.162524,0.244951,-0.055942
0.544518,0.077836,1.108696,1.310435
0.666499,0.474388,-0.756236,-0.382374
0.606943,0.424781,-0.61964,0.12661
0.843,0.404944,-1.268746,-0.758395
0.83447,0.421805,-0.599233,-0.373154
0.197299,0.259892,0.811891,0.150583
0.148836,0.422385,1.19257,1.420655
0.568582,0.100359,-0.998768,0.530381
